DN1234560000000105000000002120000000030800000000414000000005073
VN12345604881Cow 004881  20220304??????????????0000424
VN12345603165Cow 003165  20220809??????????????0099340
VN12345608789Cow 008789  20220317202206090000000007469
VN12345607105Cow 007105  20220131202204290000000019429
VN12345603301Cow 003301  20220725202209240000000004346
VN12345606864Cow 006864  20220620202207250000000036552
VN12345606288Cow 006288  20220820202210150000000015719
VN12345601926Cow 001926  20220901??????????????0087936
VN12345602564Cow 002564  20220716??????????????0009984
VN12345605299Cow 005299  20220419??????????????0086861
VN12345605400Cow 005400  20220913??????????????0089416
VN12345600251Cow 000251  20220112??????????????0067414
VN12345600749Cow 000749  20220413202206190000000063258
VN12345600606Cow 000606  20220814202209080000000001223
VN12345603453Cow 003453  20220124??????????????0084367
VN12345605359Cow 005359  20220505202207060000000067272
VN12345606556Cow 006556  20220811??????????????0060249
VN12345605994Cow 005994  20220910202211230000000051456
VN12345607778Cow 007778  20220809??????????????0090818
VN12345608641Cow 008641  20220927202210220000000031240
VN12345608928Cow 008928  20220202??????????????0022359
VN12345606452Cow 006452  20220125202202270000000013808
VN12345607622Cow 007622  20220314202204010000000022250
VN12345600468Cow 000468  20221014??????????????0040055
VN12345606217Cow 006217  20220512202206210000000009969
VN12345603128Cow 003128  20220124??????????????0005634
VN12345605472Cow 005472  20220101202201240000000087032
VN12345603525Cow 003525  20220307??????????????0091475
VN12345603057Cow 003057  20220314202204110000000066624
VN12345609701Cow 009701  20220511??????????????0084602
VN12345608130Cow 008130  20220518202206030000000056057
VN12345606151Cow 006151  20220108??????????????0077906
VN12345605171Cow 005171  20220621??????????????0071908
VN12345603121Cow 003121  20220428202205080000000085283
VN12345602525Cow 002525  20220921??????????????0058191
VN12345607433Cow 007433  20220618202208080000000041057
VN12345604418Cow 004418  20220416202204290000000037364
VN12345606871Cow 006871  20220226??????????????0061961
VN12345602259Cow 002259  20220520??????????????0015602
VN12345602387Cow 002387  20220719202210090000000004849
VN12345604692Cow 004692  20220209??????????????0014548
VN12345608141Cow 008141  20220816??????????????0037185
VN12345602231Cow 002231  20220302202206010000000064423
VN12345603020Cow 003020  20221012202212240000000052744
VN12345605218Cow 005218  20220128202202160000000064088
VN12345605654Cow 005654  20220510??????????????0087293
VN12345609052Cow 009052  20220925??????????????0096766
VN12345604714Cow 004714  20220812202209110000000012256
VN12345606530Cow 006530  20220328??????????????0061913
VN12345609257Cow 009257  20221015??????????????0025891
EN
ZN
